Microsoft (R) COFF/PE Dumper Version 14.44.35228.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    99A9CCCA time date stamp
        0.00 version
           2 ordinal base
        2001 number of functions
         478 number of names

    ordinal hint RVA      name

        324   85 000A4260 SHBindToObject
        325   86 000A4060 SHBindToParent
        326   87 00346040 SHBrowseForFolder
        327   88 00346040 SHBrowseForFolderA
        328   89 00346300 SHBrowseForFolderW
        147   8A 00055840 SHCLSIDFromString
        644   8B 0006B620 SHChangeNotification_Lock
        645   8C 0006B600 SHChangeNotification_Unlock
        329   8D 000D9D60 SHChangeNotify
          4   8E 000E2020 SHChangeNotifyDeregister
          2   8F 000DC870 SHChangeNotifyRegister
        330   90 000E31B0 SHChangeNotifyRegisterThread
        331   91 001ABE40 SHChangeNotifySuspendResume
         89   92 000DC970 SHCloneSpecialIDList
        102   93 000D9B40 SHCoCreateInstance
        332   94 00346FB0 SHCoCreateInstanceWorker
        333   95 000DFD80 SHCreateAssociationRegistration
        334   96 003505D0 SHCreateCategoryEnum
        335   97 002C0120 SHCreateDataObject
        336   98 0006A9A0 SHCreateDefaultContextMenu
        337   99 00351080 SHCreateDefaultExtractIcon
        338   9A 00334BF0 SHCreateDefaultPropertiesOp
        165   9B 0006DD00 SHCreateDirectory
        339   9C 002A3930 SHCreateDirectoryExA
        340   9D 000DF280 SHCreateDirectoryExW
        341   9E 001AE1B0 SHCreateDrvExtIcon
        743   9F 002B7C80 SHCreateFileExtractIconW
        342   A0 000A4FB0 SHCreateItemFromIDList
        343   A1 000240F0 SHCreateItemFromParsingName
        344   A2 002B7DB0 SHCreateItemFromRelativeName
        345   A3 000A3430 SHCreateItemInKnownFolder
        346   A4 000122A0 SHCreateItemWithParent
        347   A5 005CC8C0 SHCreateLocalServerRunDll
        348   A6 00275E90 SHCreateProcessAsUserW
        168   A7 00335060 SHCreatePropSheetExtArray
        349   A8 00361F50 SHCreateQueryCancelAutoPlayMoniker
        256   A9 000BB300 SHCreateShellFolderView
        174   AA 00385990 SHCreateShellFolderViewEx
        350   AB 001A2FE0 SHCreateShellItem
        351   AC 0019D210 SHCreateShellItemArray
        352   AD 0006C420 SHCreateShellItemArrayFromDataObject
        353   AE 000E3030 SHCreateShellItemArrayFromIDLists
        354   AF 0006CEE0 SHCreateShellItemArrayFromShellItem
         74   B0 002450C0 SHCreateStdEnumFmtEtc
          3   B1 00316F80 SHDefExtractIconA
          6   B2 0000F160 SHDefExtractIconW
        169   B3 00335240 SHDestroyPropSheetExtArray
         88   B4 002EDC10 SHDoDragDrop
        355   B5 0000FA40 SHELL32_AddToBackIconTable
        356   B6 00062AD0 SHELL32_AddToFrontIconTable
        357   B7 0007C540 SHELL32_AreAllItemsAvailable
        358   B8 00389080 SHELL32_CCommonPlacesFolder_CreateInstance
        359   B9 00389090 SHELL32_CDBurn_CloseSession
        360   BA 003890A0 SHELL32_CDBurn_DriveSupportedForDataBurn
        361   BB 003890B0 SHELL32_CDBurn_Erase
        362   BC 001B2A20 SHELL32_CDBurn_GetCDInfo
        363   BD 001B2A30 SHELL32_CDBurn_GetLiveFSDiscInfo
        364   BE 000563A0 SHELL32_CDBurn_GetStagingPathOrNormalPath
        365   BF 00389110 SHELL32_CDBurn_GetTaskInfo
        366   C0 00389120 SHELL32_CDBurn_IsBlankDisc
        367   C1 00389130 SHELL32_CDBurn_IsBlankDisc2
        368   C2 00389190 SHELL32_CDBurn_IsLiveFS
        369   C3 001B2A40 SHELL32_CDBurn_OnDeviceChange
        370   C4 003891A0 SHELL32_CDBurn_OnEject
        371   C5 00389220 SHELL32_CDBurn_OnMediaChange
        372   C6 00389230 SHELL32_CDefFolderMenu_Create2
        373   C7 00389290 SHELL32_CDefFolderMenu_Create2Ex
        374   C8 001B2A50 SHELL32_CDefFolderMenu_MergeMenu
        375   C9 003892F0 SHELL32_CDrivesContextMenu_Create
        376   CA 001B2A60 SHELL32_CDrivesDropTarget_Create
        377   CB 001B2A70 SHELL32_CDrives_CreateSFVCB
        378   CC 000DCB20 SHELL32_CFSDropTarget_CreateInstance
        379   CD 00389300 SHELL32_CFSFolderCallback_Create
        380   CE 00389310 SHELL32_CFillPropertiesTask_CreateInstance
        381   CF 00389330 SHELL32_CLibraryDropTarget_CreateInstance
        382   D0 00389340 SHELL32_CLocationContextMenu_Create
        383   D1 00389350 SHELL32_CLocationFolderUI_CreateInstance
        384   D2 001B2AD0 SHELL32_CMountPoint_DoAutorun
        385   D3 00389360 SHELL32_CMountPoint_DoAutorunPrompt
        386   D4 001B2AE0 SHELL32_CMountPoint_IsAutoRunDriveAndEnabledByPolicy
        387   D5 00389390 SHELL32_CMountPoint_ProcessAutoRunFile
        388   D6 003893A0 SHELL32_CMountPoint_WantAutorunUI
        389   D7 003893B0 SHELL32_CMountPoint_WantAutorunUIGetReady
        390   D8 001B2AF0 SHELL32_CNetFolderUI_CreateInstance
        391   D9 003893C0 SHELL32_CPL_CategoryIdArrayFromVariant
        392   DA 003893D0 SHELL32_CPL_IsLegacyCanonicalNameListedUnderKey
        393   DB 003893F0 SHELL32_CPL_ModifyWowDisplayName
        394   DC 00389400 SHELL32_CRecentDocsContextMenu_CreateInstance
        395   DD 00389410 SHELL32_CTransferConfirmation_CreateInstance
        396   DE 00389420 SHELL32_CallFileCopyHooks
        397   DF 001B2B00 SHELL32_CanDisplayWin8CopyDialog
        398   E0 00389480 SHELL32_CloseAutoplayPrompt
        399   E1 00389490 SHELL32_CommandLineFromMsiDescriptor
        400   E2 003894B0 SHELL32_CopySecondaryTiles
        401   E3 003894C0 SHELL32_CreateConfirmationInterrupt
        402   E4 003894D0 SHELL32_CreateConflictInterrupt
        403   E5 003894E0 SHELL32_CreateDefaultOperationDataProvider
        404   E6 001B2B30 SHELL32_CreateFileFolderContextMenu
        405   E7 000E26B0 SHELL32_CreateLinkInfoW
        406   E8 00389560 SHELL32_CreateQosRecorder
        407   E9 00389580 SHELL32_CreateSharePointView
        408   EA 002EA7D0 SHELL32_Create_IEnumUICommand
        409   EB 000E2690 SHELL32_DestroyLinkInfo
        410   EC 00389590 SHELL32_EncryptDirectory
        411   ED 003895A0 SHELL32_EncryptedFileKeyInfo
        412   EE 003895C0 SHELL32_EnumCommonTasks
        413   EF 003895D0 SHELL32_FreeEncryptedFileKeyInfo
        414   F0 0006DE80 SHELL32_GenerateAppID
        415   F1 003895F0 SHELL32_GetAppIDRoot
        416   F2 00389600 SHELL32_GetCommandProviderForFolderType
        417   F3 00053A20 SHELL32_GetDPIAdjustedLogicalSize
        418   F4 00389620 SHELL32_GetDiskCleanupPath
        419   F5 00389630 SHELL32_GetFileNameFromBrowse
        420   F6 00069F40 SHELL32_GetIconOverlayManager
        421   F7 00389640 SHELL32_GetLinkInfoData
        422   F8 00389660 SHELL32_GetRatingBucket
        423   F9 00389690 SHELL32_GetSqmableFileName
        424   FA 003896A0 SHELL32_GetThumbnailAdornerFromFactory
        425   FB 003896C0 SHELL32_GetThumbnailAdornerFromFactory2
        426   FC 003896E0 SHELL32_HandleUnrecognizedFileSystem
        427   FD 000D79B0 SHELL32_IconCacheCreate
        428   FE 000E1310 SHELL32_IconCacheDestroy
        429   FF 0000E730 SHELL32_IconCacheHandleAssociationChanged
        430  100 00094FA0 SHELL32_IconCacheRestore
        431  101 0005AE20 SHELL32_IconCache_AboutToExtractIcons
        432  102 000633C0 SHELL32_IconCache_DoneExtractingIcons
        433  103 000608A0 SHELL32_IconCache_ExpandEnvAndSearchPath
        434  104 000B1CF0 SHELL32_IconCache_RememberRecentlyExtractedIconsW
        435  105 0006CC00 SHELL32_IconOverlayManagerInit
        436  106 00061140 SHELL32_IsGetKeyboardLayoutPresent
        437  107 001B2B40 SHELL32_IsSystemUpgradeInProgress
        438  108 000DFD60 SHELL32_IsValidLinkInfo
        439  109 003896F0 SHELL32_LegacyEnumSpecialTasksByType
        440  10A 00389700 SHELL32_LegacyEnumTasks
        441  10B 00095B70 SHELL32_LookupBackIconIndex
        442  10C 00070670 SHELL32_LookupFrontIconIndex
        443  10D 00389710 SHELL32_NormalizeRating
        444  10E 001B2B50 SHELL32_NotifyLinkTrackingServiceOfMove
        445  10F 000FC780 SHELL32_PifMgr_CloseProperties
        446  110 000FC790 SHELL32_PifMgr_GetProperties
        447  111 000FC7A0 SHELL32_PifMgr_OpenProperties
        448  112 000FC7B0 SHELL32_PifMgr_SetProperties
        449  113 00389720 SHELL32_Printers_CreateBindInfo
        450  114 00389730 SHELL32_Printjob_GetPidl
        451  115 00389740 SHELL32_PurgeSystemIcon
        452  116 00071F90 SHELL32_RefreshOverlayImages
        453  117 0006B000 SHELL32_ResolveLinkInfoW
        454  118 001B2B60 SHELL32_SHAddSparseIcon
        455  119 00389750 SHELL32_SHCreateByValueOperationInterrupt
        456  11A 00096610 SHELL32_SHCreateDefaultContextMenu
        457  11B 00389760 SHELL32_SHCreateLocalServer
        458  11C 000BB6E0 SHELL32_SHCreateShellFolderView
        459  11D 00389770 SHELL32_SHDuplicateEncryptionInfoFile
        460  11E 00389790 SHELL32_SHEncryptFile
        461  11F 003897A0 SHELL32_SHFormatDriveAsync
        462  120 001B2B70 SHELL32_SHGetThreadUndoManager
        463  121 001B2B80 SHELL32_SHGetUserNameW
        464  122 001B2BA0 SHELL32_SHIsVirtualDevice
        465  123 003897B0 SHELL32_SHLaunchPropSheet
        466  124 003897C0 SHELL32_SHLogILFromFSIL
        467  125 003897D0 SHELL32_SHOpenWithDialog
        468  126 003897E0 SHELL32_SHStartNetConnectionDialogW
        469  127 00315280 SHELL32_SHUICommandFromGUID
        470  128 005D7F60 SHELL32_SendToMenu_InvokeTargetedCommand
        471  129 001D65C0 SHELL32_SendToMenu_VerifyTargetedCommand
        472  12A 00389800 SHELL32_ShowHideIconOnlyOnDesktop
        473  12B 00389810 SHELL32_SimpleRatingToFilterCondition
        474  12C 001B2BB0 SHELL32_StampIconForFile
        475  12D 00060F70 SHELL32_SuspendUndo
        476  12E 00389820 SHELL32_TryVirtualDiscImageDriveEject
        477  12F 000D4F20 SHELL32_VerifySaferTrust
        478  130 00389CB0 SHEmptyRecycleBinA
        479  131 00389D40 SHEmptyRecycleBinW
        480  132 000BBF10 SHEnableServiceObject
        481  133 002A3BB0 SHEnumerateUnreadMailAccountsW
        482  134 000C9430 SHEvaluateSystemCommandTemplate
        483  135 0038C050 SHExecuteErrorMessageBox
        484  136 0019B360 SHExtractIconsW
        485  137 00257EC0 SHFileOperation
        486  138 00257EC0 SHFileOperationA
        487  139 00257EE0 SHFileOperationW
         90  13A 002A3FB0 SHFindFiles
        149  13B 0038CB70 SHFind_InitMenuPopup
        526  13C 0038E340 SHFlushSFCache
        488  13D 002AC5B0 SHFormatDrive
        195  13E 0006D370 SHFree
        489  13F 00257F00 SHFreeNameMappings
        750  140 00023B50 SHGetAttributesFromDataObject
        490  141 002B81C0 SHGetDataFromIDListA
        491  142 000DC350 SHGetDataFromIDListW
        492  143 00068AB0 SHGetDesktopFolder
        493  144 002B82D0 SHGetDiskFreeSpaceA
        494  145 002B82D0 SHGetDiskFreeSpaceExA
        495  146 001A3030 SHGetDiskFreeSpaceExW
        496  147 003971C0 SHGetDriveMedia
        497  148 002B8350 SHGetFileInfo
        498  149 002B8350 SHGetFileInfoA
        499  14A 0000CE60 SHGetFileInfoW
        500  14B 002F9BF0 SHGetFolderLocation
        501  14C 001A76D0 SHGetFolderPathA
        502  14D 002F9C10 SHGetFolderPathAndSubDirA
        503  14E 000D95C0 SHGetFolderPathAndSubDirW
        504  14F 00069830 SHGetFolderPathEx
        505  150 000D26D0 SHGetFolderPathW
        506  151 000759F0 SHGetIDListFromObject
        507  152 003258F0 SHGetIconOverlayIndexA
        508  153 001A9B40 SHGetIconOverlayIndexW
        727  154 0008AE20 SHGetImageList
        509  155 000614F0 SHGetInstanceExplorer
        510  156 00029360 SHGetItemFromDataObject
        511  157 000BB130 SHGetItemFromObject
        512  158 000E2EF0 SHGetKnownFolderIDList
        513  159 0006CEC0 SHGetKnownFolderItem
        514  15A 000D5120 SHGetKnownFolderPath
        515  15B 002B8460 SHGetLocalizedName
        516  15C 001A3050 SHGetMalloc
        517  15D 002B8640 SHGetNameFromIDList
        518  15E 002B86E0 SHGetNewLinkInfo
        179  15F 002B86E0 SHGetNewLinkInfoA
        180  160 002B8800 SHGetNewLinkInfoW
        519  161 002A40A0 SHGetPathFromIDList
        527  162 002A40A0 SHGetPathFromIDListA
        528  163 00057AF0 SHGetPathFromIDListEx
        529  164 000A4CD0 SHGetPathFromIDListW
        530  165 000C7C90 SHGetPropertyStoreForWindow
        531  166 002B8830 SHGetPropertyStoreFromIDList
        532  167 001A3070 SHGetPropertyStoreFromParsingName
         98  168 002A41C0 SHGetRealIDL
        709  169 0019B3B0 SHGetSetFolderCustomSettings
         68  16A 000BA160 SHGetSetSettings
        533  16B 001B3460 SHGetSettings
        534  16C 00069000 SHGetSpecialFolderLocation
        535  16D 001A76F0 SHGetSpecialFolderPathA
        536  16E 000DA6C0 SHGetSpecialFolderPathW
        537  16F 002B88D0 SHGetStockIconInfo
        538  170 00012390 SHGetTemporaryPropertyForItem
        539  171 002A41E0 SHGetUnreadMailCountW
        193  172 001ABE60 SHHandleUpdateImage
        228  173 00290400 SHHelpShortcuts_RunDLL
        229  174 00290400 SHHelpShortcuts_RunDLLA
        238  175 002904B0 SHHelpShortcuts_RunDLLW
         28  176 003253E0 SHILCreateFromPath
        540  177 0026E690 SHInvokePrinterCommandA
        541  178 0026E780 SHInvokePrinterCommandW
        542  179 002A47F0 SHIsFileAvailableOffline
        747  17A 00398610 SHLimitInputEdit
        543  17B 002F9C70 SHLoadInProc
        544  17C 002A4AD0 SHLoadNonloadedIconOverlayIdentifiers
         77  17D 002B89D0 SHMapPIDLToSystemImageListIndex
        716  17E 003990A0 SHMultiFileProperties
        178  17F 00290670 SHObjectProperties
        545  180 002F9C80 SHOpenFolderAndSelectItems
        546  181 00399870 SHOpenOrGetFolderView
         80  182 003990C0 SHOpenPropSheetW
        547  183 0025AC40 SHOpenWithDialog
        548  184 00024590 SHParseDisplayName
        549  185 00257F40 SHPathPrepareForWriteA
        550  186 0019D230 SHPathPrepareForWriteW
        685  187 001A7710 SHPropStgCreate
        688  188 001A7730 SHPropStgReadMultiple
        689  189 002F9CA0 SHPropStgWriteMultiple
        551  18A 0039AA20 SHQueryRecycleBinA
        552  18B 0039AAB0 SHQueryRecycleBinW
        553  18C 001A7750 SHQueryUserNotificationState
        554  18D 002B8A20 SHRemoveLocalizedName
        170  18E 003352A0 SHReplaceFromPropSheetExtArray
        555  18F 002F9CC0 SHResolveLibrary
        100  190 000B9BE0 SHRestricted
        556  191 00334D40 SHSetDefaultProperties
        231  192 002F9CE0 SHSetFolderPathA
        232  193 002F9D00 SHSetFolderPathW
        176  194 00068370 SHSetInstanceExplorer
        557  195 001A7800 SHSetKnownFolderPath
        558  196 002B8AD0 SHSetLocalizedName
        559  197 00011DE0 SHSetTemporaryPropertyForItem
        560  198 002A4C50 SHSetUnreadMailCountW
         73  199 00385A40 SHShellFolderView_Message
        561  19A 0061D2A0 SHShowManageLibraryUI
        162  19B 001A2030 SHSimpleIDListFromPath
         14  19C 003897E0 SHStartNetConnectionDialogW
        245  19D 000D8C60 SHTestTokenMembership
        191  19E 00334940 SHUpdateImageA
        192  19F 00334960 SHUpdateImageW
        562  1A0 000E0D40 SHUpdateRecycleBinIcon
        173  1A1 00317E00 SHValidateUNC
        563  1A2 001A8D30 SetCurrentProcessExplicitAppUserModelID
        564  1A3 00249220 SheChangeDirA
        565  1A4 002492A0 SheChangeDirExW
        566  1A5 002498A0 SheGetDirA
        567  1A6 00249B00 SheSetCurDrive
        568  1A7 003ACBE0 ShellAboutA
        569  1A8 003ACD10 ShellAboutW
        570  1A9 00275EC0 ShellExec_RunDLL
        571  1AA 00275EC0 ShellExec_RunDLLA
