Microsoft (R) COFF/PE Dumper Version 14.44.35228.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    99A9CCCA time date stamp
        0.00 version
           2 ordinal base
        2001 number of functions
         478 number of names

    ordinal hint RVA      name

        108               [NONAME] (forwarded to SHUNIMPL.#6)
        109               [NONAME] (forwarded to SHUNIMPL.#7)
        110               [NONAME] (forwarded to SHUNIMPL.#8)
        111               [NONAME] (forwarded to SHUNIMPL.#9)
        112               [NONAME] (forwarded to SHUNIMPL.#10)
        113               [NONAME] (forwarded to SHUNIMPL.#11)
        114               [NONAME] (forwarded to SHUNIMPL.#12)
        115               [NONAME] (forwarded to SHUNIMPL.#13)
        116               [NONAME] (forwarded to SHUNIMPL.#14)
        117               [NONAME] (forwarded to SHUNIMPL.#15)
        118               [NONAME] (forwarded to SHUNIMPL.#16)
        120               [NONAME] (forwarded to SHUNIMPL.#17)
        121               [NONAME] (forwarded to SHUNIMPL.#44)
        122               [NONAME] (forwarded to SHUNIMPL.#45)
        123               [NONAME] (forwarded to SHUNIMPL.#46)
        124               [NONAME] (forwarded to SHUNIMPL.#18)
        126               [NONAME] (forwarded to SHUNIMPL.#47)
        127               [NONAME] (forwarded to SHUNIMPL.#371)
        128      0009FDA0 [NONAME]
        130               [NONAME] (forwarded to SHUNIMPL.#48)
        140               [NONAME] (forwarded to SHUNIMPL.#19)
        141               [NONAME] (forwarded to SHUNIMPL.#20)
        142               [NONAME] (forwarded to SHUNIMPL.#21)
        143               [NONAME] (forwarded to SHUNIMPL.#22)
        144               [NONAME] (forwarded to SHUNIMPL.#23)
        145               [NONAME] (forwarded to shlwapi.PathFindOnPathW)
        146               [NONAME] (forwarded to SHUNIMPL.#49)
        148               [NONAME] (forwarded to SHUNIMPL.#50)
        151               [NONAME] (forwarded to SHUNIMPL.#51)
        156      000CE390 [NONAME]
        158               [NONAME] (forwarded to SHUNIMPL.#389)
        159               [NONAME] (forwarded to shlwapi.PathIsDirectoryW)
        160      003268D0 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#214)
        163               [NONAME] (forwarded to SHUNIMPL.#52)
        166               [NONAME] (forwarded to SHUNIMPL.#53)
        172      002B7F10 [NONAME]
        175      000DA6C0 [NONAME]
        177               [NONAME] (forwarded to SHUNIMPL.#54)
        181      000E19F0 [NONAME]
        184      0029FD50 [NONAME]
        185               [NONAME] (forwarded to SHUNIMPL.#390)
        186      003250F0 [NONAME]
        187               [NONAME] (forwarded to SHUNIMPL.#235)
        188      000DCEC0 [NONAME]
        194      00335070 [NONAME]
        197               [NONAME] (forwarded to SHUNIMPL.#55)
        198               [NONAME] (forwarded to SHUNIMPL.#56)
        200      0006E5C0 [NONAME]
        201      00093D10 [NONAME]
        202               [NONAME] (forwarded to SHUNIMPL.#57)
        203      0029FD30 [NONAME]
        204      002A5480 [NONAME]
        205      0026E2A0 [NONAME]
        206      00093D00 [NONAME]
        209      002A2080 [NONAME]
        210      002A2A60 [NONAME]
        211      0026E490 [NONAME]
        212      0026E140 [NONAME]
        213      0026E4B0 [NONAME]
        214      0026E5D0 [NONAME]
        215      003897E0 [NONAME]
        216               [NONAME] (forwarded to SHUNIMPL.#24)
        217               [NONAME] (forwarded to SHUNIMPL.#25)
        218               [NONAME] (forwarded to SHUNIMPL.#26)
        219               [NONAME] (forwarded to SHUNIMPL.#27)
        220               [NONAME] (forwarded to SHUNIMPL.#28)
        221               [NONAME] (forwarded to SHUNIMPL.#29)
        222               [NONAME] (forwarded to SHUNIMPL.#30)
        223               [NONAME] (forwarded to SHUNIMPL.#31)
        224               [NONAME] (forwarded to SHUNIMPL.#32)
        225               [NONAME] (forwarded to SHUNIMPL.#33)
        227               [NONAME] (forwarded to SHUNIMPL.#34)
        230               [NONAME] (forwarded to SHUNIMPL.#372)
        233               [NONAME] (forwarded to SHUNIMPL.#58)
        234               [NONAME] (forwarded to SHUNIMPL.#59)
        235               [NONAME] (forwarded to SHUNIMPL.#212)
        236      00325FC0 [NONAME]
        237      002A4E80 [NONAME]
        241      002A4460 [NONAME]
        242               [NONAME] (forwarded to SHUNIMPL.#373)
        243               [NONAME] (forwarded to SHUNIMPL.#374)
        244      000D9B60 [NONAME]
        246               [NONAME] (forwarded to SHUNIMPL.#375)
        247               [NONAME] (forwarded to SHUNIMPL.#376)
        248               [NONAME] (forwarded to SHUNIMPL.#377)
        249               [NONAME] (forwarded to shlwapi.PathParseIconLocationW)
        250               [NONAME] (forwarded to shlwapi.PathRemoveExtensionW)
        251               [NONAME] (forwarded to shlwapi.PathRemoveArgsW)
        252               [NONAME] (forwarded to api-ms-win-core-url-l1.PathIsURLW)
        253               [NONAME] (forwarded to SHUNIMPL.#378)
        254      002EE7E0 [NONAME]
        257      00385A30 [NONAME]
        258      00326080 [NONAME]
        259      00326140 [NONAME]
        260      002DE180 [NONAME]
        261      00391BE0 [NONAME]
        262      00391F20 [NONAME]
        264      002DE1B0 [NONAME]
        265      00317FA0 [NONAME]
        266      00318200 [NONAME]
        270      00390CD0 [NONAME]
        271      0039B7A0 [NONAME]
        520               [NONAME] (forwarded to SHUNIMPL.#60)
        521               [NONAME] (forwarded to SHUNIMPL.#61)
        522               [NONAME] (forwarded to SHUNIMPL.#62)
        523               [NONAME] (forwarded to SHUNIMPL.#63)
        525               [NONAME] (forwarded to SHUNIMPL.#234)
        640               [NONAME] (forwarded to SHUNIMPL.#64)
        641               [NONAME] (forwarded to SHUNIMPL.#65)
        643               [NONAME] (forwarded to SHUNIMPL.#66)
        646               [NONAME] (forwarded to SHUNIMPL.#67)
        648               [NONAME] (forwarded to SHUNIMPL.#379)
        650               [NONAME] (forwarded to shlwapi.PathIsSameRootW)
        651      00245450 [NONAME]
        653               [NONAME] (forwarded to SHUNIMPL.#68)
        660      00316E00 [NONAME]
        681               [NONAME] (forwarded to SHUNIMPL.#428)
        683      0039B7E0 [NONAME]
        684      0039B7C0 [NONAME]
        690      002F9C30 [NONAME]
        691               [NONAME] (forwarded to SHUNIMPL.#216)
        700               [NONAME] (forwarded to SHUNIMPL.#380)
        702      001A3B50 [NONAME]
        703               [NONAME] (forwarded to SHLWAPI.#269)
        704               [NONAME] (forwarded to SHLWAPI.#270)
        707               [NONAME] (forwarded to SHUNIMPL.#69)
        708               [NONAME] (forwarded to SHUNIMPL.#70)
        711      002A0020 [NONAME]
        712               [NONAME] (forwarded to SHUNIMPL.#71)
        713      002D2B50 [NONAME]
        714      002D2BB0 [NONAME]
        715               [NONAME] (forwarded to SHUNIMPL.#191)
        719               [NONAME] (forwarded to SHUNIMPL.#478)
        720               [NONAME] (forwarded to SHUNIMPL.#72)
        721               [NONAME] (forwarded to SHUNIMPL.#73)
        722               [NONAME] (forwarded to SHUNIMPL.#236)
        723      000D7010 [NONAME]
        724               [NONAME] (forwarded to SHUNIMPL.#381)
        725               [NONAME] (forwarded to SHUNIMPL.#74)
        726               [NONAME] (forwarded to SHUNIMPL.#75)
        731               [NONAME] (forwarded to SHUNIMPL.#479)
        732               [NONAME] (forwarded to SHUNIMPL.#480)
        733      002D1C70 [NONAME]
        740      00355800 [NONAME]
        744      002EA7D0 [NONAME]
        745               [NONAME] (forwarded to SHUNIMPL.#382)
        748      003985B0 [NONAME]
        749               [NONAME] (forwarded to SHUNIMPL.#76)
        751      002A4E90 [NONAME]
        752      003264F0 [NONAME]
        753      000E26D0 [NONAME]
        754      00398890 [NONAME]
        755      002A2FB0 [NONAME]
        756               [NONAME] (forwarded to SHUNIMPL.#77)
        757      00023050 [NONAME]
        758      000393E0 [NONAME]
        759      000360D0 [NONAME]
        760      00257EA0 [NONAME]
        761      00334920 [NONAME]
        762               [NONAME] (forwarded to SHUNIMPL.#383)
        763      002EA800 [NONAME]
        764      0002BA20 [NONAME]
        765      003415C0 [NONAME]
        766               [NONAME] (forwarded to SHUNIMPL.#385)
        767      002B4020 [NONAME]
        777      00020FB0 [NONAME]
        778      002B5B20 [NONAME]
        779      002A23C0 [NONAME]
        781      00337060 [NONAME]
        782      0031CF70 [NONAME]
        786               [NONAME] (forwarded to SHUNIMPL.#237)
        787      0005F800 [NONAME]
        788      00362350 [NONAME]
        789      00362400 [NONAME]
        790      001A3120 [NONAME]
        791      00362300 [NONAME]
        792      000BE2F0 [NONAME]
        810      00391C10 [NONAME]
        811      00391A20 [NONAME]
        812      0063DB40 [NONAME]
        813      0063DBF0 [NONAME]
        814      00254B60 [NONAME]
        815      00254AC0 [NONAME]
        816      00288070 [NONAME]
        817      0028BF20 [NONAME]
        818      00254B50 [NONAME]
        819      00254CF0 [NONAME]
        820               [NONAME] (forwarded to SHUNIMPL.#249)
        821               [NONAME] (forwarded to SHUNIMPL.#250)
        822               [NONAME] (forwarded to SHUNIMPL.#251)
        823      000338F0 [NONAME]
        824      00295CF0 [NONAME]
        825      00283FE0 [NONAME]
        826               [NONAME] (forwarded to SHUNIMPL.#252)
        827               [NONAME] (forwarded to SHUNIMPL.#253)
        828      002BE7F0 [NONAME]
        829      002BEEB0 [NONAME]
        830      002F8DD0 [NONAME]
        831      002A3950 [NONAME]
        832               [NONAME] (forwarded to SHUNIMPL.#387)
        833      002F9C50 [NONAME]
        834               [NONAME] (forwarded to SHUNIMPL.#254)
        835               [NONAME] (forwarded to SHUNIMPL.#255)
        836               [NONAME] (forwarded to SHUNIMPL.#256)
        837               [NONAME] (forwarded to SHUNIMPL.#257)
        838               [NONAME] (forwarded to SHUNIMPL.#258)
        839               [NONAME] (forwarded to SHUNIMPL.#259)
        840      003262A0 [NONAME]
        841               [NONAME] (forwarded to SHUNIMPL.#424)
        842               [NONAME] (forwarded to SHUNIMPL.#425)
        843               [NONAME] (forwarded to SHUNIMPL.#386)
        844      002F8D20 [NONAME]
        845      00252FA0 [NONAME]
        847      00254970 [NONAME]
        848      00341610 [NONAME]
        849      00254B10 [NONAME]
        850      000CEFC0 [NONAME]
        851      00295E30 [NONAME]
        852               [NONAME] (forwarded to SHUNIMPL.#391)
        853      000A4370 [NONAME]
        854               [NONAME] (forwarded to SHUNIMPL.#260)
        856               [NONAME] (forwarded to SHUNIMPL.#423)
        857               [NONAME] (forwarded to SHUNIMPL.#426)
        858               [NONAME] (forwarded to SHUNIMPL.#392)
        859      003BAFA0 [NONAME]
        860      00390800 [NONAME]
        861               [NONAME] (forwarded to SHUNIMPL.#261)
        862      00325340 [NONAME]
        863               [NONAME] (forwarded to SHUNIMPL.#262)
        864      0031E6B0 [NONAME]
        865      002A2460 [NONAME]
        866      001ADC00 [NONAME]
        867               [NONAME] (forwarded to SHUNIMPL.#263)
        868               [NONAME] (forwarded to SHUNIMPL.#264)
        869               [NONAME] (forwarded to SHUNIMPL.#384)
        870      0006D010 [NONAME]
        871      0005FF40 [NONAME]
        872               [NONAME] (forwarded to SHUNIMPL.#265)
        873      0004D8C0 [NONAME]
        874      00315100 [NONAME]
        875      003150A0 [NONAME]
        876      00314C50 [NONAME]
        877      003151C0 [NONAME]
        878      00314F00 [NONAME]
        880      002A05D0 [NONAME]
        881      001B2D80 [NONAME]
        882      0038AC50 [NONAME]
        883      0063B9D0 [NONAME]
        884      002EDDD0 [NONAME]
        885      0008E650 [NONAME]
        886      002A49B0 [NONAME]
        887      00347040 [NONAME]
        888      00398910 [NONAME]
        889               [NONAME] (forwarded to SHUNIMPL.#474)
        890               [NONAME] (forwarded to SHUNIMPL.#475)
        891      00329460 [NONAME]
        892               [NONAME] (forwarded to SHUNIMPL.#476)
        893      00029460 [NONAME]
        894      00257E60 [NONAME]
        895      000BB9B0 [NONAME]
        896      00257D60 [NONAME]
        897      0039EB50 [NONAME]
        898      002B7F40 [NONAME]
        899      000E2F80 [NONAME]
        900      00028A50 [NONAME]
        901      001D6070 [NONAME]
        902               [NONAME] (forwarded to SHUNIMPL.#473)
        903      00257D00 [NONAME]
        904      002F9D20 [NONAME]
        905      002F9BB0 [NONAME]
        906      000E2FB0 [NONAME]
        907      001A9310 [NONAME]
        909               [NONAME] (forwarded to SHUNIMPL.#477)
        910      002DD240 [NONAME]
        911      002943B0 [NONAME]
        912      002E8FD0 [NONAME]
        913      002E9890 [NONAME]
        914      00257CE0 [NONAME]
        915      000BD7F0 [NONAME]
        916      000DCA40 [NONAME]
        922      0039B4A0 [NONAME]
        923      0006DC20 [NONAME]
        924      00257D20 [NONAME]
        927      00353290 [NONAME]
        928      00388FE0 [NONAME]
        930      002D2430 [NONAME]
        932      00257F60 [NONAME]
        933      00257F20 [NONAME]
        938      00334900 [NONAME]
        939      0000D960 [NONAME]
        940      00257E80 [NONAME]
        943      000ABE60 [NONAME]
        944      003999C0 [NONAME]
        945      00334040 [NONAME]
        946      002B8520 [NONAME]
        947      002C1870 [NONAME]
        948      002C1840 [NONAME]
        949      001A3D40 [NONAME]
        950      002C17F0 [NONAME]
        951      002C1810 [NONAME]
        952      002C17D0 [NONAME]
        953      002C15F0 [NONAME]
        970      002A31D0 [NONAME]
        971      002B7510 [NONAME]
        972      002DE600 [NONAME]
       2000      003343A0 [NONAME]
       2001      003ADBF0 [NONAME]
       2002      003258B0 [NONAME]

  Summary

        B000 .data
        4000 .didat
       4F000 .pdata
      164000 .rdata
       14000 .reloc
        9000 .rsrc
      6BC000 .text
